,Date,Open,High,Low,Close,Adj Close,Volume
0,"Nov 2, 2024",572.75,575.68,572.75,575.68,575.68,"1,629,498,240"
1,"Oct 31, 2024",595.73,596.07,571.43,576.03,576.03,"1,810,695,051"
2,"Oct 30, 2024",605.67,606.07,594.45,595.73,595.73,"1,662,620,787"
3,"Oct 29, 2024",600.60,611.78,599.95,605.67,605.67,"1,886,358,424"
4,"Oct 28, 2024",588.72,603.72,585.12,600.60,600.60,"1,671,332,663"
5,"Oct 27, 2024",582.81,590.12,581.26,588.72,588.72,"1,402,058,513"
6,"Oct 26, 2024",574.25,586.17,571.33,582.81,582.81,"1,433,826,425"
7,"Oct 25, 2024",594.15,596.95,567.06,574.25,574.25,"1,712,373,877"
8,"Oct 24, 2024",584.65,597.53,583.03,594.15,594.15,"1,595,144,217"
9,"Oct 23, 2024",593.36,593.81,573.09,582.47,582.47,"1,719,055,847"
10,"Oct 22, 2024",598.82,599.52,587.20,593.36,593.36,"1,739,710,555"
11,"Oct 21, 2024",605.52,610.92,591.70,598.82,598.82,"1,917,193,200"
12,"Oct 20, 2024",597.97,606.32,593.74,605.52,605.52,"1,608,355,248"
13,"Oct 19, 2024",599.36,601.00,595.73,597.97,597.97,"1,432,675,869"
14,"Oct 18, 2024",592.04,602.17,591.70,599.36,599.36,"1,638,190,792"
15,"Oct 17, 2024",600.82,605.83,585.72,592.04,592.04,"1,739,191,571"
16,"Oct 16, 2024",594.19,605.10,589.93,600.82,600.82,"1,918,592,073"
17,"Oct 15, 2024",588.90,598.89,578.49,594.19,594.19,"2,040,945,899"
18,"Oct 14, 2024",571.82,591.41,569.97,588.90,588.90,"1,825,783,992"
19,"Oct 13, 2024",576.45,578.06,565.13,571.82,571.82,"1,472,484,694"
20,"Oct 12, 2024",572.86,578.71,572.86,576.45,576.45,"1,482,994,534"
21,"Oct 11, 2024",562.73,577.13,560.07,572.86,572.86,"1,622,508,791"
22,"Oct 10, 2024",570.28,572.06,551.78,562.73,562.73,"1,559,089,785"
23,"Oct 9, 2024",580.40,585.07,567.14,570.28,570.28,"1,913,652,029"
24,"Oct 8, 2024",564.15,585.97,560.29,580.40,580.40,"2,143,563,900"
25,"Oct 7, 2024",570.54,580.98,564.12,564.15,564.15,"1,703,177,011"
26,"Oct 6, 2024",563.21,571.43,561.59,570.54,570.54,"1,416,593,714"
27,"Oct 5, 2024",555.38,564.82,552.34,563.21,563.21,"1,426,434,745"
28,"Oct 4, 2024",544.42,557.41,542.28,555.38,555.38,"1,518,084,330"
29,"Oct 3, 2024",542.71,550.51,535.38,544.42,544.42,"1,611,934,612"
30,"Oct 2, 2024",548.00,558.00,536.15,542.71,542.71,"1,821,113,448"
31,"Oct 1, 2024",567.26,582.43,538.48,548.00,548.00,"2,124,076,272"
32,"Sep 30, 2024",596.41,596.44,564.65,567.26,567.26,"1,978,021,598"
33,"Sep 29, 2024",601.57,602.66,593.05,596.41,596.41,"1,649,655,134"
34,"Sep 28, 2024",607.87,617.33,595.21,601.57,601.57,"1,858,159,482"
35,"Sep 27, 2024",596.78,614.47,596.50,607.87,607.87,"2,144,197,609"
36,"Sep 26, 2024",587.35,608.85,581.23,596.78,596.78,"2,081,857,126"
37,"Sep 25, 2024",606.52,607.76,584.86,587.35,587.35,"1,744,393,946"
38,"Sep 24, 2024",604.37,612.61,600.27,606.52,606.52,"1,904,808,937"
39,"Sep 23, 2024",588.09,615.72,585.51,604.37,604.37,"2,189,508,231"
40,"Sep 22, 2024",589.04,593.95,577.45,588.09,588.09,"1,680,179,600"
41,"Sep 21, 2024",568.58,590.03,566.81,589.04,589.04,"1,694,887,390"
42,"Sep 20, 2024",566.22,576.91,559.64,568.59,568.59,"1,821,452,417"
43,"Sep 19, 2024",559.04,571.72,553.51,566.22,566.22,"1,859,308,230"
44,"Sep 18, 2024",546.01,559.04,537.51,559.04,559.04,"1,657,679,444"
45,"Sep 17, 2024",533.81,552.50,529.42,546.01,546.01,"1,617,928,146"
46,"Sep 16, 2024",553.97,554.70,527.44,533.81,533.81,"1,805,132,571"
47,"Sep 15, 2024",553.57,561.58,552.36,553.97,553.97,"1,565,883,242"
48,"Sep 14, 2024",557.02,559.39,548.87,553.57,553.57,"1,412,065,214"
49,"Sep 13, 2024",544.30,559.51,539.06,557.02,557.02,"1,745,545,933"
50,"Sep 12, 2024",530.19,547.79,530.15,544.30,544.30,"1,725,751,181"
51,"Sep 11, 2024",517.48,534.51,507.24,530.19,530.19,"1,629,703,281"
52,"Sep 10, 2024",518.55,523.91,514.02,517.48,517.48,"1,461,007,853"
53,"Sep 9, 2024",503.00,524.61,501.98,518.55,518.55,"1,602,303,180"
54,"Sep 8, 2024",493.23,506.43,491.03,503.00,503.00,"1,378,399,660"
55,"Sep 7, 2024",486.90,499.11,483.26,493.23,493.23,"1,358,748,616"
56,"Sep 6, 2024",502.07,508.82,473.17,486.90,486.90,"1,860,035,342"
57,"Sep 5, 2024",507.82,512.63,497.35,502.07,502.07,"1,468,645,986"
58,"Sep 4, 2024",518.64,523.47,496.44,507.82,507.82,"1,898,187,560"
59,"Sep 3, 2024",526.44,537.96,518.67,518.67,518.67,"1,559,458,476"
60,"Sep 2, 2024",512.60,529.02,502.17,526.44,526.44,"1,653,356,892"
61,"Sep 1, 2024",532.90,532.98,508.72,512.60,512.60,"1,498,350,087"
62,"Aug 31, 2024",535.32,541.17,531.63,532.90,532.90,"1,284,869,085"
63,"Aug 30, 2024",536.63,542.81,523.06,535.32,535.32,"1,598,876,190"
64,"Aug 29, 2024",536.82,545.46,532.30,536.63,536.63,"1,577,402,536"
65,"Aug 28, 2024",533.98,546.11,523.77,536.82,536.82,"1,861,040,561"
66,"Aug 27, 2024",548.83,558.21,523.44,533.98,533.98,"1,853,530,701"
67,"Aug 26, 2024",574.25,575.98,547.23,548.83,548.83,"1,818,728,257"
68,"Aug 25, 2024",580.76,583.94,569.90,574.25,574.25,"1,681,089,758"
69,"Aug 24, 2024",591.81,592.77,575.84,580.76,580.76,"1,954,023,736"
70,"Aug 23, 2024",583.05,597.54,575.77,591.81,591.81,"2,037,288,685"
71,"Aug 22, 2024",570.02,589.42,561.22,583.05,583.05,"1,998,394,415"
72,"Aug 21, 2024",569.27,575.09,547.61,570.02,570.02,"1,887,431,524"
73,"Aug 20, 2024",559.82,574.56,559.11,569.27,569.27,"2,062,353,969"
74,"Aug 19, 2024",531.61,560.66,529.61,559.82,559.82,"1,721,716,619"
75,"Aug 18, 2024",542.23,542.40,531.24,531.61,531.61,"1,458,218,557"
76,"Aug 17, 2024",519.97,547.16,518.94,542.23,542.23,"1,554,176,167"
77,"Aug 16, 2024",519.87,524.37,511.04,519.97,519.97,"1,538,941,515"
78,"Aug 15, 2024",524.02,533.64,511.61,519.87,519.87,"1,645,936,961"
79,"Aug 14, 2024",524.13,531.51,516.51,524.02,524.02,"1,604,400,640"
80,"Aug 13, 2024",518.54,525.69,514.55,524.13,524.13,"1,757,981,177"
81,"Aug 12, 2024",503.80,523.54,500.23,518.54,518.54,"1,786,263,873"
82,"Aug 11, 2024",523.32,535.54,503.23,503.80,503.80,"1,563,057,068"
83,"Aug 10, 2024",509.18,524.96,507.85,523.32,523.32,"1,394,699,693"
84,"Aug 9, 2024",517.34,517.72,500.18,509.18,509.18,"1,565,495,419"
85,"Aug 8, 2024",474.20,521.04,469.19,517.34,517.34,"1,790,085,695"
86,"Aug 7, 2024",484.32,497.62,469.00,474.22,474.22,"1,883,200,228"
87,"Aug 6, 2024",464.63,492.90,464.29,484.32,484.32,"2,087,680,023"
88,"Aug 5, 2024",497.04,499.39,407.52,464.63,464.63,"4,703,145,244"
89,"Aug 4, 2024",529.48,531.62,488.25,497.04,497.04,"1,980,159,444"
90,"Aug 3, 2024",542.92,544.67,522.20,529.48,529.48,"1,826,715,291"
91,"Aug 2, 2024",575.15,577.00,540.12,542.92,542.92,"2,062,337,930"
92,"Aug 1, 2024",576.37,577.29,553.75,575.15,575.15,"2,045,220,020"
93,"Jul 31, 2024",587.67,592.52,575.25,576.37,576.37,"1,798,590,737"
94,"Jul 30, 2024",574.64,587.67,567.99,587.67,587.67,"1,811,656,040"
95,"Jul 29, 2024",584.10,596.65,573.99,574.64,574.64,"1,825,858,615"
96,"Jul 28, 2024",581.59,584.69,575.04,584.10,584.10,"1,464,043,630"
97,"Jul 27, 2024",581.08,592.85,574.89,581.59,581.59,"1,760,015,335"
98,"Jul 26, 2024",570.71,582.77,570.45,581.08,581.08,"1,665,724,792"
99,"Jul 25, 2024",574.58,575.84,554.76,570.71,570.71,"1,995,371,028"
