,Date,Open,High,Low,Close,Adj Close,Volume
0,"Nov 2, 2024","2,511.57","2,521.04","2,504.87","2,506.86","2,506.86","17,779,791,872"
1,"Oct 31, 2024","2,657.21","2,667.56","2,501.57","2,515.80","2,515.80","19,760,409,505"
2,"Oct 30, 2024","2,637.64","2,720.27","2,600.61","2,657.37","2,657.37","22,382,690,746"
3,"Oct 29, 2024","2,565.42","2,680.05","2,560.15","2,637.96","2,637.96","22,185,845,095"
4,"Oct 28, 2024","2,505.59","2,587.43","2,470.27","2,565.35","2,565.35","18,971,841,402"
5,"Oct 27, 2024","2,479.94","2,523.17","2,462.27","2,505.94","2,505.94","9,801,434,566"
6,"Oct 26, 2024","2,436.05","2,503.23","2,427.46","2,479.60","2,479.60","13,597,102,184"
7,"Oct 25, 2024","2,534.45","2,563.73","2,381.45","2,435.93","2,435.93","22,560,233,078"
8,"Oct 24, 2024","2,523.61","2,559.15","2,506.72","2,534.50","2,534.50","16,128,627,601"
9,"Oct 23, 2024","2,620.09","2,624.45","2,457.17","2,509.10","2,509.10","17,876,984,551"
10,"Oct 22, 2024","2,665.66","2,669.79","2,605.62","2,620.20","2,620.20","15,541,911,074"
11,"Oct 21, 2024","2,746.31","2,765.55","2,655.29","2,665.71","2,665.71","17,328,615,363"
12,"Oct 20, 2024","2,648.67","2,756.44","2,635.95","2,746.36","2,746.36","14,559,296,242"
13,"Oct 19, 2024","2,641.49","2,661.87","2,631.66","2,648.66","2,648.66","8,557,834,553"
14,"Oct 18, 2024","2,604.81","2,674.37","2,595.96","2,641.55","2,641.55","17,043,738,652"
15,"Oct 17, 2024","2,611.19","2,646.87","2,577.31","2,604.27","2,604.27","15,150,712,321"
16,"Oct 16, 2024","2,606.02","2,644.85","2,589.61","2,611.10","2,611.10","17,012,396,419"
17,"Oct 15, 2024","2,629.02","2,685.17","2,537.94","2,606.02","2,606.02","22,003,780,898"
18,"Oct 14, 2024","2,467.65","2,652.88","2,443.55","2,628.90","2,628.90","21,434,687,898"
19,"Oct 13, 2024","2,476.52","2,484.13","2,436.97","2,467.68","2,467.68","9,189,490,605"
20,"Oct 12, 2024","2,436.52","2,488.24","2,434.20","2,476.52","2,476.52","9,372,169,184"
21,"Oct 11, 2024","2,383.94","2,470.40","2,380.50","2,436.51","2,436.51","13,489,061,564"
22,"Oct 10, 2024","2,368.27","2,417.29","2,329.78","2,383.86","2,383.86","15,327,769,940"
23,"Oct 9, 2024","2,439.84","2,470.91","2,350.95","2,368.28","2,368.28","14,954,047,093"
24,"Oct 8, 2024","2,421.98","2,464.13","2,400.51","2,439.84","2,439.84","14,067,361,080"
25,"Oct 7, 2024","2,439.94","2,520.41","2,405.13","2,421.80","2,421.80","17,414,044,416"
26,"Oct 6, 2024","2,415.53","2,456.63","2,407.10","2,439.96","2,439.96","8,458,690,205"
27,"Oct 5, 2024","2,414.85","2,427.52","2,390.84","2,415.63","2,415.63","8,152,969,183"
28,"Oct 4, 2024","2,349.73","2,440.24","2,339.87","2,414.79","2,414.79","14,879,264,082"
29,"Oct 3, 2024","2,365.21","2,402.86","2,311.03","2,349.79","2,349.79","18,051,447,791"
30,"Oct 2, 2024","2,448.88","2,498.12","2,354.54","2,365.23","2,365.23","20,148,256,472"
31,"Oct 1, 2024","2,603.26","2,657.62","2,415.08","2,448.92","2,448.92","25,482,371,785"
32,"Sep 30, 2024","2,659.29","2,662.49","2,576.98","2,603.06","2,603.06","17,826,446,789"
33,"Sep 29, 2024","2,677.63","2,683.45","2,635.58","2,659.35","2,659.35","11,126,215,671"
34,"Sep 28, 2024","2,695.82","2,704.93","2,652.25","2,677.54","2,677.54","10,252,590,559"
35,"Sep 27, 2024","2,632.24","2,728.07","2,616.95","2,695.90","2,695.90","17,023,020,294"
36,"Sep 26, 2024","2,579.22","2,665.99","2,559.95","2,632.20","2,632.20","17,336,033,595"
37,"Sep 25, 2024","2,654.36","2,672.46","2,557.72","2,579.39","2,579.39","14,119,729,962"
38,"Sep 24, 2024","2,648.48","2,671.28","2,593.15","2,654.35","2,654.35","16,658,812,503"
39,"Sep 23, 2024","2,582.77","2,701.68","2,541.91","2,648.55","2,648.55","19,912,841,456"
40,"Sep 22, 2024","2,615.85","2,632.04","2,528.52","2,582.86","2,582.86","13,180,663,011"
41,"Sep 21, 2024","2,560.88","2,621.62","2,530.84","2,615.86","2,615.86","10,797,825,021"
42,"Sep 20, 2024","2,464.78","2,571.99","2,439.38","2,561.07","2,561.07","19,112,788,620"
43,"Sep 19, 2024","2,369.37","2,492.20","2,369.37","2,464.75","2,464.75","18,437,147,349"
44,"Sep 18, 2024","2,341.73","2,369.73","2,278.66","2,369.73","2,369.73","18,159,056,422"
45,"Sep 17, 2024","2,295.28","2,392.15","2,263.79","2,341.71","2,341.71","15,356,783,863"
46,"Sep 16, 2024","2,320.89","2,334.79","2,253.72","2,295.28","2,295.28","16,819,033,263"
47,"Sep 15, 2024","2,418.27","2,430.38","2,286.63","2,320.90","2,320.90","10,155,470,375"
48,"Sep 14, 2024","2,441.58","2,442.63","2,386.98","2,418.60","2,418.60","8,170,291,680"
49,"Sep 13, 2024","2,361.74","2,462.80","2,338.14","2,441.61","2,441.61","13,759,640,866"
50,"Sep 12, 2024","2,339.84","2,390.19","2,316.16","2,361.78","2,361.78","12,162,634,681"
51,"Sep 11, 2024","2,389.60","2,389.72","2,279.05","2,339.84","2,339.84","15,355,180,967"
52,"Sep 10, 2024","2,358.50","2,398.50","2,323.07","2,389.58","2,389.58","12,795,818,970"
53,"Sep 9, 2024","2,297.90","2,379.79","2,274.12","2,358.48","2,358.48","15,887,712,451"
54,"Sep 8, 2024","2,274.44","2,332.36","2,243.91","2,297.29","2,297.29","10,718,443,487"
55,"Sep 7, 2024","2,223.93","2,310.19","2,222.10","2,274.11","2,274.11","11,124,608,320"
56,"Sep 6, 2024","2,367.70","2,406.51","2,150.86","2,223.88","2,223.88","25,825,618,367"
57,"Sep 5, 2024","2,448.99","2,465.39","2,348.86","2,367.74","2,367.74","13,632,325,040"
58,"Sep 4, 2024","2,420.19","2,488.92","2,313.27","2,448.98","2,448.98","16,709,600,747"
59,"Sep 3, 2024","2,538.16","2,552.80","2,419.88","2,420.60","2,420.60","11,406,800,197"
60,"Sep 2, 2024","2,427.97","2,563.09","2,426.10","2,538.19","2,538.19","12,520,444,224"
61,"Sep 1, 2024","2,513.42","2,515.47","2,401.89","2,427.90","2,427.90","11,800,443,265"
62,"Aug 31, 2024","2,525.86","2,532.39","2,493.71","2,513.39","2,513.39","6,646,876,013"
63,"Aug 30, 2024","2,528.73","2,539.92","2,432.83","2,525.82","2,525.82","15,526,218,255"
64,"Aug 29, 2024","2,528.36","2,595.98","2,507.50","2,528.79","2,528.79","13,946,434,277"
65,"Aug 28, 2024","2,458.90","2,553.82","2,422.29","2,528.42","2,528.42","20,359,545,410"
66,"Aug 27, 2024","2,681.62","2,700.15","2,401.18","2,458.73","2,458.73","18,028,996,056"
67,"Aug 26, 2024","2,749.25","2,763.00","2,668.89","2,681.34","2,681.34","12,282,035,835"
68,"Aug 25, 2024","2,769.10","2,793.01","2,736.09","2,749.16","2,749.16","9,375,535,539"
69,"Aug 24, 2024","2,765.48","2,820.02","2,737.78","2,769.39","2,769.39","11,765,811,307"
70,"Aug 23, 2024","2,622.92","2,799.33","2,622.58","2,764.45","2,764.45","16,857,181,970"
