,Date,Open,High,Low,Close,Adj Close,Volume
0,"Nov 2, 2024",166.25,168.46,166.25,166.91,166.91,"2,861,979,136"
1,"Oct 31, 2024",174.93,176.28,167.58,168.43,168.43,"2,652,620,406"
2,"Oct 30, 2024",179.36,181.15,173.40,174.92,174.92,"2,772,422,773"
3,"Oct 29, 2024",178.10,183.04,176.86,179.36,179.36,"3,919,545,873"
4,"Oct 28, 2024",176.55,179.41,172.87,178.10,178.10,"3,623,055,701"
5,"Oct 27, 2024",170.71,177.90,170.19,176.55,176.55,"2,427,933,420"
6,"Oct 26, 2024",164.76,172.82,162.44,170.71,170.71,"2,755,373,492"
7,"Oct 25, 2024",177.16,177.19,160.04,164.76,164.76,"4,869,966,180"
8,"Oct 24, 2024",171.11,179.00,170.52,177.16,177.16,"3,529,481,044"
9,"Oct 23, 2024",167.26,173.82,164.19,170.93,170.93,"3,861,697,575"
10,"Oct 22, 2024",166.22,170.76,163.29,167.26,167.26,"3,470,792,372"
11,"Oct 21, 2024",166.94,171.43,161.81,166.22,166.22,"3,924,173,188"
12,"Oct 20, 2024",159.64,167.59,157.77,166.94,166.94,"2,579,198,899"
13,"Oct 19, 2024",154.98,159.71,153.91,159.64,159.64,"1,440,375,026"
14,"Oct 18, 2024",150.32,156.54,149.70,154.98,154.98,"1,754,226,839"
15,"Oct 17, 2024",154.24,155.55,147.94,150.32,150.32,"2,157,747,733"
16,"Oct 16, 2024",154.72,158.14,153.08,154.23,154.23,"2,397,546,608"
17,"Oct 15, 2024",157.45,158.72,150.91,154.72,154.72,"3,451,652,506"
18,"Oct 14, 2024",147.57,157.75,147.01,157.45,157.45,"2,929,339,176"
19,"Oct 13, 2024",146.50,148.71,144.62,147.57,147.57,"1,294,444,111"
20,"Oct 12, 2024",145.38,147.14,144.76,146.50,146.50,"1,118,630,507"
21,"Oct 11, 2024",138.89,146.43,138.76,145.38,145.38,"1,797,846,253"
22,"Oct 10, 2024",139.31,140.58,135.58,138.89,138.89,"1,770,157,917"
23,"Oct 9, 2024",143.40,145.13,138.80,139.32,139.32,"1,697,499,287"
24,"Oct 8, 2024",143.99,145.45,141.24,143.39,143.39,"1,710,617,951"
25,"Oct 7, 2024",146.44,152.10,143.60,143.99,143.99,"2,678,803,498"
26,"Oct 6, 2024",142.71,146.62,142.11,146.44,146.44,"1,168,715,645"
27,"Oct 5, 2024",143.17,144.83,141.17,142.71,142.71,"1,113,937,760"
28,"Oct 4, 2024",136.79,144.43,136.08,143.17,143.17,"2,361,841,303"
29,"Oct 3, 2024",140.38,142.81,133.55,136.79,136.79,"2,914,986,844"
30,"Oct 2, 2024",145.29,148.83,138.92,140.39,140.39,"2,892,264,150"
31,"Oct 1, 2024",152.62,157.26,142.84,145.29,145.29,"3,656,164,855"
32,"Sep 30, 2024",158.63,159.51,152.02,152.62,152.62,"2,376,780,676"
33,"Sep 29, 2024",156.91,161.62,155.24,158.63,158.63,"1,773,980,028"
34,"Sep 28, 2024",157.75,159.35,155.30,156.91,156.91,"1,300,870,644"
35,"Sep 27, 2024",155.58,160.98,154.13,157.75,157.75,"2,765,830,721"
36,"Sep 26, 2024",148.02,157.86,146.87,155.58,155.58,"3,009,969,111"
37,"Sep 25, 2024",152.89,153.55,147.45,148.02,148.02,"2,138,602,628"
38,"Sep 24, 2024",144.81,153.54,143.30,152.89,152.89,"2,927,238,360"
39,"Sep 23, 2024",144.80,148.97,142.64,144.81,144.81,"2,344,229,720"
40,"Sep 22, 2024",149.53,149.87,141.38,144.80,144.80,"1,597,826,979"
41,"Sep 21, 2024",146.57,149.84,144.80,149.53,149.53,"1,385,610,390"
42,"Sep 20, 2024",142.84,151.76,141.32,146.57,146.57,"3,241,123,621"
43,"Sep 19, 2024",133.99,143.90,133.99,142.84,142.84,"2,884,543,933"
44,"Sep 18, 2024",131.54,133.99,127.25,133.99,133.99,"2,260,675,347"
45,"Sep 17, 2024",131.47,135.49,130.48,131.54,131.54,"1,726,861,492"
46,"Sep 16, 2024",131.50,132.30,129.14,131.47,131.47,"1,623,218,789"
47,"Sep 15, 2024",137.18,137.92,130.97,131.50,131.50,"1,358,403,273"
48,"Sep 14, 2024",139.10,139.73,135.94,137.18,137.18,"952,465,288"
49,"Sep 13, 2024",136.14,139.83,131.86,139.10,139.10,"1,668,690,414"
50,"Sep 12, 2024",132.50,136.61,132.44,136.14,136.14,"1,597,055,803"
51,"Sep 11, 2024",135.63,135.80,128.43,132.50,132.50,"2,122,617,674"
52,"Sep 10, 2024",135.03,137.81,132.63,135.64,135.64,"1,642,358,500"
53,"Sep 9, 2024",129.99,136.19,127.22,135.03,135.03,"2,443,769,044"
54,"Sep 8, 2024",127.72,131.52,126.81,129.99,129.99,"1,317,794,291"
55,"Sep 7, 2024",124.99,129.29,124.27,127.72,127.72,"1,321,261,949"
56,"Sep 6, 2024",129.33,134.17,121.06,124.99,124.99,"3,520,537,699"
57,"Sep 5, 2024",133.60,135.09,128.14,129.33,129.33,"1,926,178,088"
58,"Sep 4, 2024",127.58,134.87,123.61,133.60,133.60,"2,663,812,153"
59,"Sep 3, 2024",135.00,137.14,127.57,127.58,127.58,"1,787,700,523"
60,"Sep 2, 2024",128.69,135.35,127.27,135.00,135.00,"2,092,221,241"
61,"Sep 1, 2024",135.37,136.00,128.24,128.69,128.69,"1,974,170,865"
62,"Aug 31, 2024",138.10,138.99,134.64,135.37,135.37,"892,155,699"
63,"Aug 30, 2024",140.05,141.01,132.45,138.10,138.10,"2,683,385,690"
64,"Aug 29, 2024",143.89,147.22,138.27,140.05,140.05,"2,098,251,665"
65,"Aug 28, 2024",146.90,148.69,140.97,143.89,143.89,"2,932,401,182"
66,"Aug 27, 2024",157.24,159.62,145.66,146.90,146.90,"2,783,392,784"
67,"Aug 26, 2024",158.91,161.91,155.88,157.24,157.24,"2,588,808,155"
68,"Aug 25, 2024",160.73,161.95,155.51,158.91,158.91,"2,085,078,554"
69,"Aug 24, 2024",153.11,162.17,152.15,160.73,160.73,"2,749,419,604"
70,"Aug 23, 2024",143.26,153.77,143.16,153.11,153.11,"2,560,976,300"
71,"Aug 22, 2024",142.71,144.81,140.93,143.26,143.26,"1,368,400,829"
72,"Aug 21, 2024",142.33,144.16,139.27,142.71,142.71,"1,923,259,439"
73,"Aug 20, 2024",144.35,148.65,141.36,143.17,143.17,"2,124,392,770"
74,"Aug 19, 2024",142.59,145.92,140.75,144.34,144.34,"2,077,549,615"
75,"Aug 18, 2024",141.80,146.96,140.96,142.59,142.59,"1,866,239,536"
76,"Aug 17, 2024",139.33,141.96,137.87,141.80,141.80,"1,199,702,073"
77,"Aug 16, 2024",142.74,144.80,136.38,139.33,139.33,"2,707,615,564"
78,"Aug 15, 2024",143.92,147.35,138.16,142.75,142.75,"3,032,770,371"
79,"Aug 14, 2024",146.71,151.73,142.72,143.92,143.92,"2,714,536,693"
80,"Aug 13, 2024",146.45,149.61,143.15,146.71,146.71,"2,224,488,388"
81,"Aug 12, 2024",141.53,150.81,141.44,146.45,146.45,"3,380,174,341"
82,"Aug 11, 2024",153.96,157.93,141.35,141.53,141.53,"2,411,765,937"
83,"Aug 10, 2024",156.46,158.59,152.87,153.96,153.96,"1,662,980,960"
84,"Aug 9, 2024",162.93,163.25,151.23,156.46,156.46,"3,217,916,997"
85,"Aug 8, 2024",144.63,163.03,142.02,162.93,162.93,"5,385,642,745"
86,"Aug 7, 2024",144.09,155.01,142.75,144.63,144.63,"5,529,725,414"
87,"Aug 6, 2024",129.86,149.35,129.79,144.09,144.09,"5,813,459,735"
88,"Aug 5, 2024",138.05,139.14,110.61,129.86,129.86,"14,114,308,949"
89,"Aug 4, 2024",142.92,145.84,132.14,138.06,138.06,"4,333,596,296"
90,"Aug 3, 2024",152.64,153.78,140.22,142.92,142.92,"3,620,526,646"
91,"Aug 2, 2024",167.66,169.04,150.08,152.64,152.64,"4,507,521,137"
92,"Aug 1, 2024",171.83,172.69,157.99,167.67,167.67,"4,402,828,194"
93,"Jul 31, 2024",179.11,184.18,171.82,171.83,171.83,"3,055,204,208"
94,"Jul 30, 2024",182.77,184.18,176.02,179.11,179.11,"2,766,172,800"
95,"Jul 29, 2024",184.89,193.73,181.89,182.78,182.78,"3,654,304,391"
96,"Jul 28, 2024",184.09,186.51,181.40,184.89,184.89,"1,852,374,783"
97,"Jul 27, 2024",183.14,188.14,178.60,184.09,184.09,"3,248,901,126"
98,"Jul 26, 2024",171.96,183.54,171.88,183.14,183.14,"2,816,314,095"
99,"Jul 25, 2024",178.03,179.52,165.93,171.96,171.96,"4,067,186,719"
100,"Jul 24, 2024",172.76,182.36,171.21,178.03,178.03,"3,112,174,836"
101,"Jul 23, 2024",178.98,180.50,170.99,172.76,172.76,"3,230,351,478"
102,"Jul 22, 2024",184.55,184.79,177.04,178.98,178.98,"2,808,509,242"
103,"Jul 21, 2024",173.89,184.87,171.12,184.54,184.54,"3,080,452,915"
104,"Jul 20, 2024",169.18,174.83,167.56,173.89,173.89,"1,908,476,088"
105,"Jul 19, 2024",159.09,171.51,156.61,169.19,169.19,"3,617,009,839"
106,"Jul 18, 2024",155.59,161.59,155.57,159.07,159.07,"2,044,591,406"
107,"Jul 17, 2024",160.56,163.60,155.07,155.58,155.58,"2,255,652,667"
108,"Jul 16, 2024",159.77,162.47,153.05,160.55,160.55,"3,034,234,774"
109,"Jul 15, 2024",147.67,159.94,147.20,159.93,159.93,"2,580,623,500"
110,"Jul 14, 2024",141.93,148.55,141.93,147.62,147.62,"2,009,294,488"
111,"Jul 13, 2024",139.53,143.37,138.18,141.92,141.92,"1,131,518,484"
112,"Jul 12, 2024",135.86,140.42,134.16,139.53,139.53,"1,990,173,458"
113,"Jul 11, 2024",141.98,145.32,135.85,135.88,135.88,"2,286,890,972"
114,"Jul 10, 2024",141.37,145.85,138.86,141.97,141.97,"1,952,272,010"
115,"Jul 9, 2024",139.54,143.93,136.74,141.35,141.35,"2,418,798,702"
116,"Jul 8, 2024",131.80,141.63,128.56,139.46,139.46,"3,692,404,575"
117,"Jul 7, 2024",143.19,143.19,131.77,131.77,131.77,"1,842,515,124"
118,"Jul 6, 2024",134.36,144.01,132.61,143.24,143.24,"2,078,535,871"
119,"Jul 5, 2024",127.61,135.85,122.44,134.37,134.37,"4,644,036,182"
120,"Jul 4, 2024",140.72,142.51,127.55,127.55,127.55,"3,243,822,145"
121,"Jul 3, 2024",153.71,154.20,139.52,140.73,140.73,"2,813,419,415"
122,"Jul 2, 2024",146.59,154.71,146.12,153.70,153.70,"2,024,773,533"
123,"Jul 1, 2024",146.48,148.80,145.82,146.60,146.60,"1,814,659,116"
124,"Jun 30, 2024",140.01,147.20,137.14,146.49,146.49,"1,567,841,881"
125,"Jun 29, 2024",139.72,142.82,139.67,140.01,140.01,"1,139,066,175"
126,"Jun 28, 2024",149.45,150.05,139.31,139.70,139.70,"2,396,070,692"
127,"Jun 27, 2024",136.61,150.77,135.24,149.45,149.45,"2,831,651,846"
128,"Jun 26, 2024",136.55,140.17,134.93,136.61,136.61,"1,670,038,554"
129,"Jun 25, 2024",132.27,139.73,131.30,136.56,136.56,"2,517,391,150"
130,"Jun 24, 2024",128.60,132.31,123.67,132.24,132.24,"3,420,423,301"
131,"Jun 23, 2024",133.66,135.01,128.27,128.59,128.59,"1,063,910,411"
132,"Jun 22, 2024",134.57,136.46,133.14,133.67,133.67,"948,392,979"
133,"Jun 21, 2024",133.47,135.23,128.92,134.59,134.59,"2,214,701,928"
134,"Jun 20, 2024",135.61,141.08,132.09,133.47,133.47,"2,343,938,226"
135,"Jun 19, 2024",137.48,141.67,134.73,135.61,135.61,"2,241,396,569"
136,"Jun 18, 2024",143.31,143.61,130.29,137.50,137.50,"4,046,511,952"
