,Date,Open,High,Low,Close,Adj Close,Volume
0,"Nov 2, 2024","2,512.00","2,521.41","2,505.12","2,505.12","2,505.12","51,956,224"
1,"Oct 31, 2024","2,655.91","2,667.01","2,503.84","2,514.96","2,514.96","32,254,871"
2,"Oct 30, 2024","2,634.87","2,714.12","2,606.01","2,656.14","2,656.14","45,560,184"
3,"Oct 29, 2024","2,565.08","2,673.14","2,560.20","2,634.83","2,634.83","57,052,777"
4,"Oct 28, 2024","2,507.42","2,577.91","2,472.92","2,565.08","2,565.08","38,670,705"
5,"Oct 27, 2024","2,479.62","2,517.85","2,463.61","2,507.42","2,507.42","21,274,473"
6,"Oct 26, 2024","2,428.57","2,495.65","2,427.85","2,479.62","2,479.62","24,616,618"
7,"Oct 25, 2024","2,532.31","2,556.92","2,383.41","2,428.26","2,428.26","52,761,841"
8,"Oct 24, 2024","2,522.21","2,555.55","2,509.40","2,532.32","2,532.32","76,613,384"
9,"Oct 23, 2024","2,618.42","2,622.83","2,461.45","2,508.86","2,508.86","51,396,892"
10,"Oct 22, 2024","2,666.29","2,667.99","2,608.05","2,618.42","2,618.42","37,301,465"
11,"Oct 21, 2024","2,743.88","2,763.24","2,656.83","2,666.29","2,666.29","56,831,181"
12,"Oct 20, 2024","2,649.08","2,750.14","2,636.85","2,743.87","2,743.87","34,148,732"
13,"Oct 19, 2024","2,640.74","2,657.58","2,630.87","2,649.08","2,649.08","19,797,771"
14,"Oct 18, 2024","2,601.49","2,670.83","2,595.63","2,640.74","2,640.74","30,319,246"
15,"Oct 17, 2024","2,610.05","2,644.36","2,586.33","2,601.40","2,601.40","33,440,198"
16,"Oct 16, 2024","2,602.86","2,641.89","2,590.04","2,610.06","2,610.06","42,007,348"
17,"Oct 15, 2024","2,628.38","2,673.23","2,553.38","2,602.86","2,602.86","41,588,509"
18,"Oct 14, 2024","2,465.36","2,648.94","2,449.83","2,628.40","2,628.40","81,583,930"
19,"Oct 13, 2024","2,476.46","2,481.32","2,437.32","2,465.36","2,465.36","15,030,539"
20,"Oct 12, 2024","2,435.91","2,482.54","2,435.08","2,476.46","2,476.46","35,373,314"
21,"Oct 11, 2024","2,378.94","2,465.31","2,378.06","2,435.91","2,435.91","30,333,079"
22,"Oct 10, 2024","2,366.69","2,411.90","2,333.33","2,378.94","2,378.94","35,581,419"
23,"Oct 9, 2024","2,438.24","2,464.14","2,353.88","2,366.69","2,366.69","50,069,310"
24,"Oct 8, 2024","2,424.72","2,451.45","2,409.56","2,443.50","2,443.50","65,761,882"
25,"Oct 7, 2024","2,437.52","2,513.89","2,424.61","2,424.61","2,424.61","55,055,755"
26,"Oct 6, 2024","2,414.23","2,452.09","2,407.01","2,437.52","2,437.52","12,625,137"
27,"Oct 5, 2024","2,414.41","2,426.04","2,390.68","2,414.23","2,414.23","17,079,794"
28,"Oct 4, 2024","2,348.48","2,436.70","2,340.87","2,414.41","2,414.41","37,957,459"
29,"Oct 3, 2024","2,366.61","2,399.05","2,311.83","2,348.48","2,348.48","50,296,168"
30,"Oct 2, 2024","2,449.16","2,493.95","2,355.02","2,366.61","2,366.61","75,781,582"
31,"Oct 1, 2024","2,602.73","2,649.55","2,421.08","2,449.16","2,449.16","59,843,617"
32,"Sep 30, 2024","2,656.69","2,658.52","2,586.18","2,602.73","2,602.73","45,580,321"
33,"Sep 29, 2024","2,672.63","2,677.46","2,636.26","2,656.69","2,656.69","31,034,199"
34,"Sep 28, 2024","2,695.80","2,701.19","2,656.28","2,672.63","2,672.63","31,232,821"
35,"Sep 27, 2024","2,632.22","2,721.34","2,617.36","2,695.80","2,695.80","30,880,227"
36,"Sep 26, 2024","2,577.82","2,661.56","2,571.40","2,632.22","2,632.22","29,778,099"
37,"Sep 25, 2024","2,656.96","2,667.01","2,563.08","2,577.82","2,577.82","30,841,741"
38,"Sep 24, 2024","2,648.27","2,668.88","2,603.62","2,656.96","2,656.96","31,309,287"
39,"Sep 23, 2024","2,580.94","2,692.05","2,549.66","2,648.27","2,648.27","39,768,779"
40,"Sep 22, 2024","2,617.09","2,622.25","2,536.18","2,580.93","2,580.93","24,650,880"
41,"Sep 21, 2024","2,556.10","2,618.87","2,530.98","2,617.14","2,617.14","18,043,705"
42,"Sep 20, 2024","2,464.10","2,569.00","2,443.43","2,556.10","2,556.10","34,345,975"
43,"Sep 19, 2024","2,361.03","2,483.14","2,361.03","2,464.10","2,464.10","63,233,659"
44,"Sep 18, 2024","2,336.42","2,360.95","2,281.87","2,360.91","2,360.91","59,971,337"
45,"Sep 17, 2024","2,291.13","2,383.32","2,263.43","2,336.42","2,336.42","60,259,365"
46,"Sep 16, 2024","2,319.46","2,326.33","2,259.10","2,291.13","2,291.13","58,735,225"
47,"Sep 15, 2024","2,417.15","2,426.92","2,302.79","2,319.17","2,319.17","21,159,077"
48,"Sep 14, 2024","2,443.00","2,443.01","2,401.00","2,417.15","2,417.15","19,688,398"
49,"Sep 13, 2024","2,360.17","2,455.46","2,337.32","2,442.92","2,442.92","36,609,482"
50,"Sep 12, 2024","2,341.53","2,385.17","2,319.44","2,360.17","2,360.17","39,203,889"
51,"Sep 11, 2024","2,382.65","2,389.03","2,282.96","2,341.53","2,341.53","35,206,877"
52,"Sep 10, 2024","2,358.85","2,389.69","2,326.75","2,382.65","2,382.65","42,236,134"
53,"Sep 9, 2024","2,294.93","2,372.25","2,275.46","2,358.85","2,358.85","44,981,937"
54,"Sep 8, 2024","2,270.21","2,327.77","2,243.32","2,294.93","2,294.93","89,507,866"
55,"Sep 7, 2024","2,221.08","2,301.73","2,221.08","2,270.20","2,270.20","44,771,362"
56,"Sep 6, 2024","2,367.52","2,401.99","2,163.75","2,220.78","2,220.78","233,287,152"
57,"Sep 5, 2024","2,447.94","2,464.95","2,351.04","2,367.52","2,367.52","83,007,202"
58,"Sep 4, 2024","2,422.85","2,486.60","2,276.09","2,447.94","2,447.94","104,862,430"
59,"Sep 3, 2024","2,537.61","2,548.05","2,422.90","2,422.90","2,422.90","40,193,431"
60,"Sep 2, 2024","2,426.72","2,552.29","2,423.82","2,537.61","2,537.61","41,724,754"
61,"Sep 1, 2024","2,512.82","2,514.61","2,402.10","2,426.72","2,426.72","37,829,220"
62,"Aug 31, 2024","2,525.03","2,529.97","2,494.56","2,512.82","2,512.82","16,640,863"
63,"Aug 30, 2024","2,527.11","2,537.77","2,440.05","2,525.12","2,525.12","54,335,661"
64,"Aug 29, 2024","2,529.87","2,592.22","2,511.14","2,527.11","2,527.11","32,533,103"
65,"Aug 28, 2024","2,458.48","2,551.20","2,423.21","2,529.87","2,529.87","64,505,641"
66,"Aug 27, 2024","2,681.52","2,698.23","2,437.91","2,458.49","2,458.49","71,122,564"
67,"Aug 26, 2024","2,747.89","2,760.20","2,670.38","2,681.52","2,681.52","36,557,815"
68,"Aug 25, 2024","2,770.41","2,786.02","2,737.53","2,747.89","2,747.89","29,024,085"
69,"Aug 24, 2024","2,763.93","2,812.19","2,743.93","2,770.49","2,770.49","54,528,938"
70,"Aug 23, 2024","2,622.92","2,792.95","2,622.38","2,763.93","2,763.93","49,233,125"
71,"Aug 22, 2024","2,629.52","2,643.32","2,592.96","2,622.92","2,622.92","40,075,181"
72,"Aug 21, 2024","2,572.13","2,655.89","2,543.71","2,629.52","2,629.52","61,104,175"
73,"Aug 20, 2024","2,628.58","2,693.77","2,563.12","2,584.79","2,584.79","95,765,094"
74,"Aug 19, 2024","2,620.37","2,646.72","2,571.25","2,628.58","2,628.58","31,878,128"
75,"Aug 18, 2024","2,611.30","2,679.98","2,597.35","2,621.04","2,621.04","28,984,959"
76,"Aug 17, 2024","2,592.28","2,622.70","2,590.13","2,611.44","2,611.44","25,524,898"
77,"Aug 16, 2024","2,570.19","2,626.50","2,560.18","2,592.44","2,592.44","51,369,393"
78,"Aug 15, 2024","2,665.67","2,673.57","2,529.48","2,571.33","2,571.33","61,278,028"
79,"Aug 14, 2024","2,703.06","2,764.52","2,638.68","2,665.68","2,665.68","29,096,193"
80,"Aug 13, 2024","2,725.31","2,732.58","2,614.91","2,703.01","2,703.01","49,348,137"
81,"Aug 12, 2024","2,557.01","2,743.59","2,520.05","2,725.31","2,725.31","64,578,205"
82,"Aug 11, 2024","2,606.00","2,704.01","2,551.94","2,557.01","2,557.01","58,924,228"
83,"Aug 10, 2024","2,600.55","2,638.24","2,583.95","2,606.00","2,606.00","44,637,070"
84,"Aug 9, 2024","2,683.17","2,702.77","2,562.35","2,600.73","2,600.73","83,646,373"
85,"Aug 8, 2024","2,334.71","2,771.82","2,326.73","2,682.74","2,682.74","92,736,153"
86,"Aug 7, 2024","2,454.46","2,544.30","2,316.30","2,334.71","2,334.71","113,834,483"
87,"Aug 6, 2024","2,416.89","2,540.30","2,416.87","2,454.46","2,454.46","111,332,013"
88,"Aug 5, 2024","2,679.64","2,688.88","2,157.16","2,425.75","2,425.75","959,436,900"
89,"Aug 4, 2024","2,902.04","2,922.89","2,660.93","2,679.64","2,679.64","150,964,592"
90,"Aug 3, 2024","2,983.10","3,011.13","2,865.41","2,902.11","2,902.11","64,013,496"
91,"Aug 2, 2024","3,201.13","3,204.50","2,978.25","2,983.10","2,983.10","236,869,328"
92,"Aug 1, 2024","3,229.96","3,239.92","3,082.43","3,201.03","3,201.03","88,879,615"
93,"Jul 31, 2024","3,276.56","3,345.49","3,219.77","3,229.97","3,229.97","76,111,694"
94,"Jul 30, 2024","3,323.61","3,358.09","3,257.48","3,276.56","3,276.56","43,548,130"
95,"Jul 29, 2024","3,271.41","3,393.74","3,268.41","3,323.61","3,323.61","46,134,488"
96,"Jul 28, 2024","3,247.42","3,277.82","3,206.25","3,271.41","3,271.41","19,193,298"
97,"Jul 27, 2024","3,277.15","3,318.72","3,215.50","3,249.00","3,249.00","39,886,263"
98,"Jul 26, 2024","3,170.30","3,281.76","3,169.91","3,277.39","3,277.39","63,735,984"
99,"Jul 25, 2024","3,336.02","3,339.53","3,090.53","3,170.30","3,170.30","175,143,234"
100,"Jul 24, 2024","3,482.05","3,486.64","3,319.07","3,336.02","3,336.02","54,278,747"
101,"Jul 23, 2024","3,438.68","3,526.72","3,402.48","3,482.51","3,482.51","81,166,932"
102,"Jul 22, 2024","3,533.09","3,556.28","3,431.36","3,438.17","3,438.17","47,218,833"
103,"Jul 21, 2024","3,520.33","3,543.20","3,421.68","3,533.07","3,533.07","37,235,123"
104,"Jul 20, 2024","3,505.31","3,537.08","3,482.88","3,520.54","3,520.54","37,070,907"
105,"Jul 19, 2024","3,428.05","3,537.47","3,382.10","3,505.32","3,505.32","52,862,369"
106,"Jul 18, 2024","3,393.94","3,483.96","3,378.79","3,428.09","3,428.09","51,900,595"
107,"Jul 17, 2024","3,446.06","3,517.37","3,384.40","3,393.94","3,393.94","81,229,169"
108,"Jul 16, 2024","3,493.39","3,499.29","3,357.21","3,446.14","3,446.14","76,265,527"
109,"Jul 15, 2024","3,252.05","3,495.46","3,245.47","3,492.80","3,492.80","74,457,921"
110,"Jul 14, 2024","3,183.85","3,269.60","3,167.68","3,252.04","3,252.04","36,281,534"
111,"Jul 13, 2024","3,132.42","3,199.99","3,113.88","3,183.32","3,183.32","26,861,533"
112,"Jul 12, 2024","3,100.17","3,151.11","3,049.38","3,132.36","3,132.36","35,353,608"
113,"Jul 11, 2024","3,101.09","3,205.09","3,069.05","3,100.15","3,100.15","52,079,317"
114,"Jul 10, 2024","3,062.67","3,146.91","3,036.96","3,100.17","3,100.17","79,008,807"
115,"Jul 9, 2024","3,014.41","3,095.98","3,008.68","3,062.37","3,062.37","58,124,039"
116,"Jul 8, 2024","2,932.37","3,069.33","2,825.85","3,014.50","3,014.50","129,241,468"
117,"Jul 7, 2024","3,063.21","3,064.45","2,925.95","2,932.37","2,932.37","76,132,840"
118,"Jul 6, 2024","2,980.17","3,075.96","2,956.77","3,063.23","3,063.23","51,413,507"
119,"Jul 5, 2024","3,066.45","3,103.19","2,825.97","2,980.20","2,980.20","179,811,848"
120,"Jul 4, 2024","3,295.09","3,308.14","3,066.72","3,066.88","3,066.88","102,018,102"
121,"Jul 3, 2024","3,415.42","3,423.70","3,260.74","3,295.19","3,295.19","62,537,123"
122,"Jul 2, 2024","3,439.19","3,457.81","3,406.37","3,415.22","3,415.22","26,224,045"
123,"Jul 1, 2024","3,433.62","3,509.62","3,426.34","3,439.30","3,439.30","41,518,341"
124,"Jun 30, 2024","3,372.41","3,452.39","3,352.27","3,433.67","3,433.67","31,150,498"
125,"Jun 29, 2024","3,372.87","3,397.96","3,370.29","3,372.39","3,372.39","18,155,849"
126,"Jun 28, 2024","3,443.53","3,480.94","3,363.37","3,372.81","3,372.81","59,190,595"
127,"Jun 27, 2024","3,366.72","3,471.00","3,362.77","3,443.47","3,443.47","54,866,042"
128,"Jun 26, 2024","3,392.88","3,419.73","3,327.81","3,366.77","3,366.77","69,787,227"
129,"Jun 25, 2024","3,348.64","3,420.60","3,334.44","3,392.94","3,392.94","38,349,396"
130,"Jun 24, 2024","3,419.55","3,429.04","3,249.82","3,348.64","3,348.64","78,141,617"
131,"Jun 23, 2024","3,496.10","3,518.05","3,415.57","3,419.52","3,419.52","51,858,200"
132,"Jun 22, 2024","3,515.36","3,517.01","3,474.86","3,496.10","3,496.10","20,211,748"
133,"Jun 21, 2024","3,510.05","3,539.67","3,453.83","3,515.37","3,515.37","73,559,046"
134,"Jun 20, 2024","3,555.64","3,615.74","3,484.65","3,510.12","3,510.12","64,120,963"
135,"Jun 19, 2024","3,482.83","3,582.71","3,466.90","3,555.64","3,555.64","83,110,796"
136,"Jun 18, 2024","3,510.46","3,512.14","3,378.43","3,482.87","3,482.87","116,557,321"
137,"Jun 17, 2024","3,619.12","3,631.61","3,466.19","3,510.58","3,510.58","92,475,073"
138,"Jun 16, 2024","3,564.27","3,643.99","3,541.49","3,619.01","3,619.01","41,429,240"
139,"Jun 15, 2024","3,478.90","3,587.07","3,473.67","3,564.14","3,564.14","52,598,677"
140,"Jun 14, 2024","3,465.69","3,523.78","3,364.61","3,478.95","3,478.95","88,598,716"
141,"Jun 13, 2024","3,558.44","3,558.44","3,434.34","3,465.78","3,465.78","82,497,010"
142,"Jun 12, 2024","3,498.96","3,648.10","3,469.21","3,558.39","3,558.39","86,326,865"
143,"Jun 11, 2024","3,665.02","3,667.22","3,440.18","3,499.06","3,499.06","149,167,491"
144,"Jun 10, 2024","3,702.81","3,703.05","3,651.16","3,665.02","3,665.02","63,286,786"
145,"Jun 9, 2024","3,680.14","3,714.82","3,668.11","3,702.81","3,702.81","42,326,443"
146,"Jun 8, 2024","3,675.36","3,703.79","3,668.44","3,680.14","3,680.14","25,787,895"
147,"Jun 7, 2024","3,811.18","3,833.35","3,631.18","3,676.22","3,676.22","78,330,756"
148,"Jun 6, 2024","3,857.81","3,874.79","3,772.16","3,811.18","3,811.18","60,851,388"
149,"Jun 5, 2024","3,812.27","3,879.26","3,778.87","3,857.81","3,857.81","81,374,718"
150,"Jun 4, 2024","3,765.66","3,824.97","3,744.34","3,812.27","3,812.27","49,856,310"
151,"Jun 3, 2024","3,780.66","3,844.26","3,759.13","3,765.66","3,765.66","63,244,155"
152,"Jun 2, 2024","3,812.14","3,832.41","3,760.24","3,780.66","3,780.66","52,442,361"
153,"Jun 1, 2024","3,760.79","3,823.35","3,750.46","3,812.14","3,812.14","34,209,740"
154,"May 31, 2024","3,747.19","3,838.50","3,724.51","3,760.79","3,760.79","80,024,457"
155,"May 30, 2024","3,762.80","3,817.79","3,704.13","3,747.19","3,747.19","79,505,444"
156,"May 29, 2024","3,838.24","3,879.71","3,743.81","3,762.79","3,762.79","90,926,590"
157,"May 28, 2024","3,894.82","3,920.56","3,776.53","3,838.24","3,838.24","110,745,462"
158,"May 27, 2024","3,823.55","3,968.08","3,822.14","3,894.82","3,894.82","143,054,842"
159,"May 26, 2024","3,748.69","3,872.98","3,733.22","3,823.55","3,823.55","81,993,341"
160,"May 25, 2024","3,726.12","3,769.54","3,712.32","3,748.69","3,748.69","47,026,506"
161,"May 24, 2024","3,771.70","3,820.43","3,636.84","3,726.12","3,726.12","149,089,949"
162,"May 23, 2024","3,736.46","3,931.80","3,666.34","3,771.70","3,771.70","391,345,549"
163,"May 22, 2024","3,786.21","3,806.67","3,657.80","3,736.94","3,736.94","220,597,741"
164,"May 21, 2024","3,655.27","3,818.00","3,629.24","3,786.21","3,786.21","301,901,821"
165,"May 20, 2024","3,071.33","3,677.01","3,055.35","3,655.36","3,655.36","230,735,250"
166,"May 19, 2024","3,119.95","3,131.91","3,059.70","3,071.33","3,071.33","79,107,541"
167,"May 18, 2024","3,089.43","3,138.44","3,084.41","3,119.94","3,119.94","44,436,986"
168,"May 17, 2024","2,941.89","3,110.51","2,933.38","3,089.43","3,089.43","110,172,644"
169,"May 16, 2024","3,033.32","3,034.62","2,926.35","2,941.89","2,941.89","85,759,657"
170,"May 15, 2024","2,879.04","3,035.66","2,862.24","3,033.31","3,033.31","81,763,893"
171,"May 14, 2024","2,946.83","2,955.46","2,867.52","2,879.04","2,879.04","75,197,237"
172,"May 13, 2024","2,929.62","2,986.87","2,866.67","2,946.83","2,946.83","84,175,450"
173,"May 12, 2024","2,910.13","2,947.92","2,903.89","2,929.62","2,929.62","21,830,319"
174,"May 11, 2024","2,910.25","2,932.91","2,894.49","2,910.13","2,910.13","35,583,067"
175,"May 10, 2024","3,035.83","3,048.89","2,884.23","2,910.25","2,910.25","83,145,440"
176,"May 9, 2024","2,971.24","3,054.83","2,954.41","3,035.82","3,035.82","52,445,401"
177,"May 8, 2024","3,006.18","3,036.03","2,941.91","2,971.24","2,971.24","74,615,648"
178,"May 7, 2024","3,063.70","3,125.77","3,005.69","3,006.18","3,006.18","76,926,758"
179,"May 6, 2024","3,135.74","3,211.45","3,053.06","3,063.70","3,063.70","92,304,990"
180,"May 5, 2024","3,115.70","3,163.37","3,077.42","3,135.75","3,135.75","46,344,735"
181,"May 4, 2024","3,101.31","3,158.06","3,095.50","3,115.70","3,115.70","61,088,014"
182,"May 3, 2024","2,983.79","3,119.96","2,959.06","3,101.37","3,101.37","97,360,020"
183,"May 2, 2024","2,970.73","3,010.58","2,894.19","2,983.79","2,983.79","114,219,348"
184,"May 1, 2024","3,015.34","3,017.77","2,827.06","2,970.73","2,970.73","204,761,041"
185,"Apr 30, 2024","3,212.97","3,233.77","2,927.52","3,015.34","3,015.34","189,566,677"
186,"Apr 29, 2024","3,262.16","3,282.60","3,117.66","3,212.97","3,212.97","122,657,111"
187,"Apr 28, 2024","3,249.77","3,342.15","3,247.46","3,262.16","3,262.16","85,715,369"
188,"Apr 27, 2024","3,127.98","3,272.42","3,079.13","3,249.77","3,249.77","78,127,145"
189,"Apr 26, 2024","3,156.97","3,162.01","3,102.59","3,127.98","3,127.98","73,983,782"
190,"Apr 25, 2024","3,131.22","3,187.03","3,082.14","3,156.97","3,156.97","99,853,340"
191,"Apr 24, 2024","3,216.30","3,286.43","3,108.93","3,131.21","3,131.21","101,342,257"
192,"Apr 23, 2024","3,209.46","3,247.25","3,155.45","3,216.30","3,216.30","78,611,500"
193,"Apr 22, 2024","3,147.08","3,231.96","3,136.83","3,209.46","3,209.46","152,396,319"
194,"Apr 21, 2024","3,153.13","3,190.64","3,128.36","3,147.08","3,147.08","71,177,712"
195,"Apr 20, 2024","3,058.99","3,161.87","3,023.59","3,153.13","3,153.13","74,115,365"
196,"Apr 19, 2024","3,064.06","3,114.77","2,868.34","3,058.99","3,058.99","261,228,914"
197,"Apr 18, 2024","2,977.61","3,078.42","2,955.58","3,064.06","3,064.06","119,318,696"
198,"Apr 17, 2024","3,078.09","3,113.38","2,920.63","2,977.61","2,977.61","171,142,358"
199,"Apr 16, 2024","3,095.45","3,112.46","3,001.08","3,078.09","3,078.09","140,420,639"
200,"Apr 15, 2024","3,149.70","3,255.19","3,041.09","3,095.45","3,095.45","170,977,618"
201,"Apr 14, 2024","3,000.47","3,159.81","2,908.68","3,149.70","3,149.70","251,758,398"
202,"Apr 13, 2024","3,233.88","3,285.98","2,843.74","3,000.47","3,000.47","348,056,246"
203,"Apr 12, 2024","3,500.74","3,544.06","3,142.55","3,233.88","3,233.88","203,381,134"
204,"Apr 11, 2024","3,537.60","3,601.85","3,480.73","3,500.74","3,500.74","102,013,123"
205,"Apr 10, 2024","3,499.34","3,549.01","3,413.18","3,537.60","3,537.60","124,583,476"
206,"Apr 9, 2024","3,688.40","3,710.90","3,473.21","3,499.34","3,499.34","220,319,019"
207,"Apr 8, 2024","3,444.86","3,715.19","3,405.67","3,688.40","3,688.40","119,570,663"
208,"Apr 7, 2024","3,361.63","3,450.00","3,349.21","3,444.86","3,444.86","96,771,140"
209,"Apr 6, 2024","3,317.54","3,388.92","3,309.43","3,361.63","3,361.63","96,739,402"
210,"Apr 5, 2024","3,321.48","3,338.33","3,225.85","3,317.54","3,317.54","101,860,360"
211,"Apr 4, 2024","3,311.45","3,426.66","3,258.67","3,321.48","3,321.48","81,828,640"
212,"Apr 3, 2024","3,274.77","3,353.31","3,219.50","3,311.45","3,311.45","109,944,458"
213,"Apr 2, 2024","3,497.17","3,498.08","3,220.94","3,274.77","3,274.77","150,091,178"
214,"Apr 1, 2024","3,635.16","3,635.19","3,414.18","3,497.17","3,497.17","129,277,057"
215,"Mar 31, 2024","3,495.46","3,638.55","3,495.22","3,635.16","3,635.16","58,422,398"
216,"Mar 30, 2024","3,505.39","3,550.78","3,481.26","3,495.46","3,495.46","71,305,364"
217,"Mar 29, 2024","3,553.25","3,572.09","3,469.08","3,505.39","3,505.39","89,094,911"
218,"Mar 28, 2024","3,496.45","3,596.32","3,463.86","3,553.25","3,553.25","211,719,780"
219,"Mar 27, 2024","3,588.96","3,644.39","3,465.21","3,496.45","3,496.45","252,341,330"
220,"Mar 26, 2024","3,588.54","3,662.75","3,548.68","3,588.96","3,588.96","140,458,666"
221,"Mar 25, 2024","3,449.03","3,633.82","3,416.73","3,588.54","3,588.54","94,300,722"
