,Date,Open,High,Low,Close,Adj Close,Volume
0,"Nov 2, 2024",0.167317,0.167599,0.167107,0.167365,0.167365,"359,904,384"
1,"Oct 31, 2024",0.169259,0.170340,0.167610,0.168170,0.168170,"379,762,276"
2,"Oct 30, 2024",0.166231,0.169694,0.165981,0.169259,0.169259,"394,070,697"
3,"Oct 29, 2024",0.163997,0.166239,0.163938,0.166231,0.166231,"407,987,206"
4,"Oct 28, 2024",0.163871,0.164256,0.163022,0.163997,0.163997,"308,378,238"
5,"Oct 27, 2024",0.164943,0.166030,0.163847,0.163871,0.163871,"277,038,826"
6,"Oct 26, 2024",0.162215,0.165126,0.162174,0.164943,0.164943,"312,412,806"
7,"Oct 25, 2024",0.164578,0.166648,0.161959,0.162215,0.162215,"526,759,035"
8,"Oct 24, 2024",0.160222,0.164886,0.160186,0.164578,0.164578,"356,686,461"
9,"Oct 23, 2024",0.160084,0.160503,0.159185,0.160261,0.160261,"296,720,485"
10,"Oct 22, 2024",0.158295,0.160614,0.157614,0.160084,0.160084,"311,155,708"
11,"Oct 21, 2024",0.156726,0.158671,0.155727,0.158295,0.158295,"321,997,139"
12,"Oct 20, 2024",0.156901,0.156901,0.156103,0.156726,0.156726,"206,835,224"
13,"Oct 19, 2024",0.158483,0.158635,0.156786,0.156900,0.156900,"229,214,919"
14,"Oct 18, 2024",0.159305,0.159469,0.158460,0.158483,0.158483,"254,900,303"
15,"Oct 17, 2024",0.159992,0.160450,0.159239,0.159304,0.159304,"261,359,737"
16,"Oct 16, 2024",0.158733,0.160156,0.158448,0.159992,0.159992,"320,841,166"
17,"Oct 15, 2024",0.160437,0.160513,0.157852,0.158732,0.158732,"379,560,522"
18,"Oct 14, 2024",0.162615,0.162919,0.159660,0.160437,0.160437,"416,441,291"
19,"Oct 13, 2024",0.162509,0.163339,0.161888,0.162615,0.162615,"252,312,735"
20,"Oct 12, 2024",0.159740,0.163921,0.159060,0.162509,0.162509,"324,423,790"
21,"Oct 11, 2024",0.158728,0.161515,0.157993,0.159740,0.159740,"326,040,956"
22,"Oct 10, 2024",0.160452,0.160514,0.158597,0.158728,0.158728,"318,140,500"
23,"Oct 9, 2024",0.159866,0.161801,0.159492,0.160453,0.160453,"322,784,575"
24,"Oct 8, 2024",0.155853,0.160323,0.155618,0.159866,0.159866,"373,856,249"
25,"Oct 7, 2024",0.154274,0.156656,0.153877,0.155853,0.155853,"310,973,002"
26,"Oct 6, 2024",0.153602,0.154747,0.153179,0.154274,0.154274,"194,538,467"
27,"Oct 5, 2024",0.156511,0.156590,0.153543,0.153602,0.153602,"200,736,305"
28,"Oct 4, 2024",0.157617,0.157814,0.156464,0.156511,0.156511,"290,440,811"
29,"Oct 3, 2024",0.154457,0.157642,0.153675,0.157617,0.157617,"415,443,928"
30,"Oct 2, 2024",0.153614,0.155288,0.153140,0.154457,0.154457,"374,157,746"
31,"Oct 1, 2024",0.155915,0.156982,0.153206,0.153614,0.153614,"453,944,740"
32,"Sep 30, 2024",0.156474,0.156746,0.154867,0.155915,0.155915,"356,554,430"
33,"Sep 29, 2024",0.155068,0.157548,0.154765,0.156474,0.156474,"265,085,146"
34,"Sep 28, 2024",0.155170,0.155403,0.153986,0.155068,0.155068,"237,118,461"
35,"Sep 27, 2024",0.153201,0.155492,0.153183,0.155170,0.155170,"352,985,159"
36,"Sep 26, 2024",0.150039,0.153514,0.149480,0.153201,0.153201,"307,154,160"
37,"Sep 25, 2024",0.151266,0.151282,0.149917,0.150043,0.150043,"241,028,874"
38,"Sep 24, 2024",0.152363,0.152532,0.150910,0.151266,0.151266,"263,209,284"
39,"Sep 23, 2024",0.151863,0.152880,0.151378,0.152363,0.152363,"273,500,623"
40,"Sep 22, 2024",0.152118,0.152159,0.151025,0.151863,0.151863,"215,262,735"
41,"Sep 21, 2024",0.152094,0.152548,0.151507,0.152118,0.152118,"181,815,444"
42,"Sep 20, 2024",0.151535,0.152781,0.151535,0.152094,0.152094,"281,155,593"
43,"Sep 19, 2024",0.149495,0.151668,0.149477,0.151535,0.151535,"298,556,385"
44,"Sep 18, 2024",0.150058,0.150288,0.149076,0.149495,0.149495,"268,834,863"
45,"Sep 17, 2024",0.148869,0.151306,0.148867,0.150058,0.150058,"271,737,666"
46,"Sep 16, 2024",0.148958,0.149645,0.147876,0.148869,0.148869,"303,035,459"
47,"Sep 15, 2024",0.147521,0.149531,0.147113,0.148958,0.148958,"228,318,597"
48,"Sep 14, 2024",0.149071,0.149075,0.147185,0.147521,0.147521,"228,565,242"
49,"Sep 13, 2024",0.151974,0.151975,0.148700,0.149071,0.149071,"289,665,015"
50,"Sep 12, 2024",0.153369,0.154359,0.151919,0.151974,0.151974,"279,070,623"
51,"Sep 11, 2024",0.153080,0.153432,0.151839,0.153369,0.153369,"296,807,897"
52,"Sep 10, 2024",0.154511,0.154578,0.152149,0.153080,0.153080,"293,043,279"
53,"Sep 9, 2024",0.153191,0.154955,0.153162,0.154511,0.154511,"329,043,709"
54,"Sep 8, 2024",0.151570,0.153363,0.151166,0.153191,0.153191,"312,836,455"
55,"Sep 7, 2024",0.147860,0.152079,0.147860,0.151570,0.151570,"296,586,155"
56,"Sep 6, 2024",0.149804,0.150125,0.146687,0.147860,0.147860,"362,675,671"
57,"Sep 5, 2024",0.149983,0.151184,0.149185,0.149804,0.149804,"320,570,407"
58,"Sep 4, 2024",0.150355,0.152020,0.148897,0.149984,0.149984,"439,739,570"
59,"Sep 3, 2024",0.154153,0.154471,0.150355,0.150355,0.150355,"346,130,570"
60,"Sep 2, 2024",0.155667,0.156858,0.153812,0.154153,0.154153,"355,890,963"
61,"Sep 1, 2024",0.157666,0.157759,0.155147,0.155667,0.155667,"330,931,375"
62,"Aug 31, 2024",0.159948,0.160179,0.156813,0.157666,0.157666,"326,335,017"
63,"Aug 30, 2024",0.160004,0.161642,0.159189,0.159948,0.159948,"437,714,088"
64,"Aug 29, 2024",0.158221,0.161340,0.158201,0.160004,0.160004,"435,969,861"
65,"Aug 28, 2024",0.157959,0.159776,0.157382,0.158221,0.158221,"535,922,121"
66,"Aug 27, 2024",0.161607,0.162923,0.156787,0.157959,0.157959,"701,159,330"
67,"Aug 26, 2024",0.166557,0.168487,0.161592,0.161607,0.161607,"846,196,448"
68,"Aug 25, 2024",0.158946,0.167130,0.156916,0.166557,0.166557,"952,618,330"
69,"Aug 24, 2024",0.158573,0.162954,0.157935,0.158946,0.158946,"720,319,296"
70,"Aug 23, 2024",0.155651,0.158963,0.153911,0.158572,0.158572,"730,575,126"
71,"Aug 22, 2024",0.153868,0.159678,0.148340,0.155651,0.155651,"1,195,024,963"
72,"Aug 21, 2024",0.161705,0.165620,0.153319,0.153868,0.153868,"1,552,238,681"
