,Date,Open,High,Low,Close,Adj Close,Volume
0,"Nov 2, 2024",1.0000,1.0005,0.9998,1.0001,1.0001,"8,255,430,656"
1,"Oct 31, 2024",0.9998,1.0009,0.9994,1.0000,1.0000,"8,076,588,759"
2,"Oct 30, 2024",0.9999,1.0008,0.9990,0.9998,0.9998,"7,228,206,285"
3,"Oct 29, 2024",0.9999,1.0007,0.9992,0.9999,0.9999,"9,596,165,797"
4,"Oct 28, 2024",0.9999,1.0008,0.9995,0.9999,0.9999,"7,852,957,302"
5,"Oct 27, 2024",0.9999,1.0006,0.9995,1.0000,1.0000,"3,435,115,036"
6,"Oct 26, 2024",0.9996,1.0012,0.9995,0.9998,0.9998,"4,501,871,708"
7,"Oct 25, 2024",1.0000,1.0010,0.9994,0.9998,0.9998,"10,349,261,606"
8,"Oct 24, 2024",0.9999,1.0006,0.9994,1.0000,1.0000,"6,751,752,975"
9,"Oct 23, 2024",0.9998,1.0007,0.9994,1.0000,1.0000,"7,180,272,273"
10,"Oct 22, 2024",1.0000,1.0008,0.9994,0.9998,0.9998,"6,299,084,767"
11,"Oct 21, 2024",0.9999,1.0008,0.9995,0.9999,0.9999,"6,942,827,868"
12,"Oct 20, 2024",1.0000,1.0004,0.9995,0.9999,0.9999,"3,407,729,614"
13,"Oct 19, 2024",0.9999,1.0001,0.9995,1.0000,1.0000,"2,433,012,234"
14,"Oct 18, 2024",0.9999,1.0007,0.9995,0.9999,0.9999,"6,032,177,392"
15,"Oct 17, 2024",0.9999,1.0007,0.9995,0.9999,0.9999,"5,414,632,057"
16,"Oct 16, 2024",0.9999,1.0010,0.9995,0.9998,0.9998,"6,696,380,074"
17,"Oct 15, 2024",0.9998,1.0010,0.9994,0.9999,0.9999,"8,158,392,140"
18,"Oct 14, 2024",0.9998,1.0007,0.9986,0.9998,0.9998,"7,287,349,529"
19,"Oct 13, 2024",0.9999,1.0006,0.9995,0.9998,0.9998,"2,864,489,654"
20,"Oct 12, 2024",0.9999,1.0006,0.9997,0.9999,0.9999,"2,688,400,173"
21,"Oct 11, 2024",1.0000,1.0007,0.9996,0.9999,0.9999,"5,062,260,065"
22,"Oct 10, 2024",0.9998,1.0011,0.9995,1.0000,1.0000,"5,487,546,707"
23,"Oct 9, 2024",0.9999,1.0008,0.9995,0.9998,0.9998,"5,488,861,733"
24,"Oct 8, 2024",1.0000,1.0011,0.9995,0.9999,0.9999,"6,015,193,014"
25,"Oct 7, 2024",0.9999,1.0011,0.9995,1.0001,1.0001,"6,657,443,142"
26,"Oct 6, 2024",1.0000,1.0008,0.9996,0.9999,0.9999,"2,566,380,267"
27,"Oct 5, 2024",1.0001,1.0007,0.9998,1.0000,1.0000,"2,483,346,552"
28,"Oct 4, 2024",1.0000,1.0013,0.9997,1.0001,1.0001,"6,045,872,517"
29,"Oct 3, 2024",1.0000,1.0013,0.9996,1.0001,1.0001,"6,648,292,023"
30,"Oct 2, 2024",0.9999,1.0012,0.9996,1.0000,1.0000,"6,994,868,258"
31,"Oct 1, 2024",1.0000,1.0014,0.9995,1.0000,1.0000,"10,848,900,888"
32,"Sep 30, 2024",0.9999,1.0009,0.9993,0.9999,0.9999,"6,665,769,413"
33,"Sep 29, 2024",1.0000,1.0008,0.9997,0.9999,0.9999,"3,054,087,540"
34,"Sep 28, 2024",1.0000,1.0009,0.9997,1.0000,1.0000,"2,872,721,698"
35,"Sep 27, 2024",1.0001,1.0010,0.9995,0.9999,0.9999,"5,842,305,183"
36,"Sep 26, 2024",0.9999,1.0010,0.9994,1.0001,1.0001,"6,835,010,999"
37,"Sep 25, 2024",0.9999,1.0010,0.9997,1.0000,1.0000,"5,027,597,589"
38,"Sep 24, 2024",1.0000,1.0010,0.9992,0.9999,0.9999,"6,354,408,025"
39,"Sep 23, 2024",1.0000,1.0013,0.9997,1.0000,1.0000,"6,075,070,143"
40,"Sep 22, 2024",1.0002,1.0012,0.9996,1.0000,1.0000,"3,722,435,881"
41,"Sep 21, 2024",0.9999,1.0009,0.9998,1.0002,1.0002,"2,570,745,139"
42,"Sep 20, 2024",1.0000,1.0011,0.9995,1.0000,1.0000,"6,050,168,399"
43,"Sep 19, 2024",0.9998,1.0010,0.9995,0.9999,0.9999,"7,071,100,441"
44,"Sep 18, 2024",0.9999,1.0013,0.9995,0.9998,0.9998,"6,960,600,328"
45,"Sep 17, 2024",0.9999,1.0015,0.9995,0.9998,0.9998,"6,832,779,460"
46,"Sep 16, 2024",1.0000,1.0011,0.9993,0.9999,0.9999,"6,009,825,679"
47,"Sep 15, 2024",0.9998,1.0007,0.9996,1.0000,1.0000,"3,316,385,139"
48,"Sep 14, 2024",1.0001,1.0006,0.9996,0.9999,0.9999,"3,141,619,292"
49,"Sep 13, 2024",1.0000,1.0013,0.9993,1.0002,1.0002,"5,979,995,702"
50,"Sep 12, 2024",1.0000,1.0015,0.9993,1.0000,1.0000,"5,583,428,255"
51,"Sep 11, 2024",0.9999,1.0012,0.9993,1.0000,1.0000,"6,194,531,532"
52,"Sep 10, 2024",0.9999,1.0011,0.9995,0.9999,0.9999,"4,970,979,431"
53,"Sep 9, 2024",1.0001,1.0011,0.9996,0.9999,0.9999,"6,525,561,297"
54,"Sep 8, 2024",1.0000,1.0013,0.9997,0.9999,0.9999,"3,426,790,820"
55,"Sep 7, 2024",1.0001,1.0010,0.9997,1.0000,1.0000,"3,252,565,092"
56,"Sep 6, 2024",1.0000,1.0013,0.9995,1.0001,1.0001,"10,002,129,981"
57,"Sep 5, 2024",1.0000,1.0012,0.9995,1.0000,1.0000,"5,761,221,107"
58,"Sep 4, 2024",1.0000,1.0013,0.9995,1.0000,1.0000,"6,477,656,833"
59,"Sep 3, 2024",0.9999,1.0009,0.9997,1.0000,1.0000,"4,872,467,519"
60,"Sep 2, 2024",1.0000,1.0012,0.9996,0.9999,0.9999,"4,433,901,472"
61,"Sep 1, 2024",1.0000,1.0012,0.9993,1.0000,1.0000,"3,944,521,735"
62,"Aug 31, 2024",1.0000,1.0006,0.9997,1.0000,1.0000,"1,982,580,539"
63,"Aug 30, 2024",0.9999,1.0013,0.9993,1.0000,1.0000,"6,018,973,038"
64,"Aug 29, 2024",0.9999,1.0020,0.9996,1.0000,1.0000,"6,251,270,493"
65,"Aug 28, 2024",1.0000,1.0014,0.9992,0.9999,0.9999,"7,652,368,988"
66,"Aug 27, 2024",0.9999,1.0017,0.9995,1.0000,1.0000,"6,943,030,162"
67,"Aug 26, 2024",1.0000,1.0011,0.9996,0.9999,0.9999,"5,394,349,814"
68,"Aug 25, 2024",0.9999,1.0009,0.9995,1.0000,1.0000,"3,777,049,671"
69,"Aug 24, 2024",1.0000,1.0009,0.9996,0.9999,0.9999,"4,057,904,148"
70,"Aug 23, 2024",1.0000,1.0011,0.9995,1.0000,1.0000,"8,562,443,281"
71,"Aug 22, 2024",0.9999,1.0011,0.9995,1.0000,1.0000,"4,782,782,342"
72,"Aug 21, 2024",1.0000,1.0012,0.9993,1.0000,1.0000,"5,665,095,199"
73,"Aug 20, 2024",1.0002,1.0011,0.9995,1.0000,1.0000,"5,325,316,305"
74,"Aug 19, 2024",1.0002,1.0014,0.9993,1.0002,1.0002,"4,852,810,943"
75,"Aug 18, 2024",0.9999,1.0010,0.9996,1.0005,1.0005,"3,106,041,184"
76,"Aug 17, 2024",1.0000,1.0008,0.9996,1.0000,1.0000,"2,312,459,420"
77,"Aug 16, 2024",1.0001,1.0012,0.9994,1.0000,1.0000,"5,554,835,179"
78,"Aug 15, 2024",1.0000,1.0013,0.9994,1.0001,1.0001,"7,187,161,595"
79,"Aug 14, 2024",0.9999,1.0012,0.9995,1.0000,1.0000,"6,330,884,911"
80,"Aug 13, 2024",0.9999,1.0012,0.9992,0.9999,0.9999,"5,704,692,463"
81,"Aug 12, 2024",0.9999,1.0013,0.9995,0.9999,0.9999,"7,736,713,766"
82,"Aug 11, 2024",0.9999,1.0012,0.9995,0.9998,0.9998,"4,241,023,138"
83,"Aug 10, 2024",1.0002,1.0012,0.9996,1.0000,1.0000,"2,840,668,190"
84,"Aug 9, 2024",0.9999,1.0012,0.9995,1.0002,1.0002,"6,203,173,859"
85,"Aug 8, 2024",0.9999,1.0016,0.9987,0.9999,0.9999,"8,609,634,275"
86,"Aug 7, 2024",1.0000,1.0013,0.9994,1.0001,1.0001,"9,172,640,907"
87,"Aug 6, 2024",1.0000,1.0015,0.9994,1.0002,1.0002,"10,057,433,619"
88,"Aug 5, 2024",0.9999,1.0019,0.9988,1.0000,1.0000,"24,826,261,611"
89,"Aug 4, 2024",0.9999,1.0017,0.9996,1.0000,1.0000,"6,455,293,009"
90,"Aug 3, 2024",0.9999,1.0013,0.9996,1.0001,1.0001,"5,917,141,670"
91,"Aug 2, 2024",1.0000,1.0011,0.9995,0.9999,0.9999,"8,383,547,954"
92,"Aug 1, 2024",1.0000,1.0013,0.9996,1.0000,1.0000,"7,390,211,553"
93,"Jul 31, 2024",1.0000,1.0011,0.9997,1.0000,1.0000,"5,968,875,897"
94,"Jul 30, 2024",0.9999,1.0010,0.9996,1.0000,1.0000,"5,332,646,102"
95,"Jul 29, 2024",0.9999,1.0011,0.9997,1.0000,1.0000,"6,797,227,757"
96,"Jul 28, 2024",1.0000,1.0010,0.9997,0.9999,0.9999,"3,031,560,130"
97,"Jul 27, 2024",1.0002,1.0013,0.9994,1.0001,1.0001,"5,532,713,251"
98,"Jul 26, 2024",0.9999,1.0011,0.9996,1.0002,1.0002,"5,793,637,323"
99,"Jul 25, 2024",0.9999,1.0012,0.9996,1.0000,1.0000,"7,654,250,854"
100,"Jul 24, 2024",1.0000,1.0012,0.9996,0.9999,0.9999,"5,549,791,333"
101,"Jul 23, 2024",1.0000,1.0011,0.9994,1.0000,1.0000,"8,082,893,148"
102,"Jul 22, 2024",1.0000,1.0008,0.9996,1.0000,1.0000,"5,765,488,048"
103,"Jul 21, 2024",1.0000,1.0010,0.9996,1.0000,1.0000,"5,265,680,633"
104,"Jul 20, 2024",1.0000,1.0009,0.9996,1.0001,1.0001,"3,884,141,780"
105,"Jul 19, 2024",0.9999,1.0012,0.9997,1.0000,1.0000,"7,526,347,950"
106,"Jul 18, 2024",1.0001,1.0014,0.9997,0.9999,0.9999,"5,968,408,600"
107,"Jul 17, 2024",1.0002,1.0010,0.9997,1.0001,1.0001,"6,728,358,080"
108,"Jul 16, 2024",1.0001,1.0008,0.9997,1.0001,1.0001,"7,796,844,852"
109,"Jul 15, 2024",1.0001,1.0010,0.9997,1.0001,1.0001,"7,433,084,707"
110,"Jul 14, 2024",1.0000,1.0010,0.9997,0.9999,0.9999,"4,256,989,618"
111,"Jul 13, 2024",1.0001,1.0008,0.9998,1.0001,1.0001,"3,212,398,138"
112,"Jul 12, 2024",1.0000,1.0008,0.9998,1.0000,1.0000,"5,327,947,652"
113,"Jul 11, 2024",1.0000,1.0010,0.9998,1.0000,1.0000,"6,096,076,403"
114,"Jul 10, 2024",1.0000,1.0009,0.9998,0.9999,0.9999,"5,380,030,813"
115,"Jul 9, 2024",1.0000,1.0010,0.9998,1.0000,1.0000,"5,416,525,622"
116,"Jul 8, 2024",0.9998,1.0017,0.9995,0.9999,0.9999,"8,124,831,163"
117,"Jul 7, 2024",1.0000,1.0006,0.9997,0.9999,0.9999,"3,667,249,702"
118,"Jul 6, 2024",1.0001,1.0007,0.9997,0.9999,0.9999,"3,574,500,456"
119,"Jul 5, 2024",1.0001,1.0010,0.9996,1.0000,1.0000,"10,285,011,034"
120,"Jul 4, 2024",0.9999,1.0010,0.9995,0.9999,0.9999,"7,220,316,786"
121,"Jul 3, 2024",0.9999,1.0008,0.9997,0.9999,0.9999,"5,941,703,427"
122,"Jul 2, 2024",0.9999,1.0006,0.9997,0.9999,0.9999,"4,088,170,748"
123,"Jul 1, 2024",0.9999,1.0008,0.9997,0.9999,0.9999,"4,714,986,074"
124,"Jun 30, 2024",0.9998,1.0006,0.9996,0.9999,0.9999,"3,501,717,888"
125,"Jun 29, 2024",0.9999,1.0004,0.9997,0.9998,0.9998,"2,662,005,047"
126,"Jun 28, 2024",0.9999,1.0007,0.9997,1.0000,1.0000,"5,731,112,290"
127,"Jun 27, 2024",0.9999,1.0006,0.9996,0.9998,0.9998,"5,254,114,011"
128,"Jun 26, 2024",1.0000,1.0007,0.9996,0.9998,0.9998,"4,964,437,157"
129,"Jun 25, 2024",1.0000,1.0008,0.9998,1.0000,1.0000,"5,991,607,536"
130,"Jun 24, 2024",1.0000,1.0008,0.9995,1.0001,1.0001,"8,141,512,257"
131,"Jun 23, 2024",1.0001,1.0004,0.9998,0.9999,0.9999,"2,542,629,622"
132,"Jun 22, 2024",1.0000,1.0007,0.9998,1.0000,1.0000,"2,459,845,315"
133,"Jun 21, 2024",1.0001,1.0008,0.9998,1.0000,1.0000,"5,778,982,985"
134,"Jun 20, 2024",1.0001,1.0007,0.9997,1.0000,1.0000,"5,213,531,694"
135,"Jun 19, 2024",1.0000,1.0007,0.9997,1.0001,1.0001,"4,457,463,559"
136,"Jun 18, 2024",1.0001,1.0016,0.9997,1.0000,1.0000,"7,136,467,512"
137,"Jun 17, 2024",1.0000,1.0007,0.9997,1.0001,1.0001,"5,844,947,783"
138,"Jun 16, 2024",1.0000,1.0007,0.9998,1.0000,1.0000,"2,632,098,818"
139,"Jun 15, 2024",1.0000,1.0005,0.9998,1.0001,1.0001,"2,755,427,647"
140,"Jun 14, 2024",1.0001,1.0008,0.9998,0.9999,0.9999,"6,091,367,068"
141,"Jun 13, 2024",1.0001,1.0005,0.9996,1.0000,1.0000,"5,971,089,832"
142,"Jun 12, 2024",1.0000,1.0004,0.9997,1.0000,1.0000,"6,871,867,010"
143,"Jun 11, 2024",1.0000,1.0005,0.9997,1.0001,1.0001,"6,723,356,948"
144,"Jun 10, 2024",1.0000,1.0003,0.9998,0.9999,0.9999,"4,910,419,104"
145,"Jun 9, 2024",1.0000,1.0003,0.9998,1.0000,1.0000,"2,509,473,567"
146,"Jun 8, 2024",1.0000,1.0005,0.9998,1.0000,1.0000,"3,059,267,864"
147,"Jun 7, 2024",0.9999,1.0010,0.9997,1.0001,1.0001,"7,530,255,040"
148,"Jun 6, 2024",1.0000,1.0007,0.9996,0.9998,0.9998,"5,526,353,581"
149,"Jun 5, 2024",1.0001,1.0005,0.9996,1.0000,1.0000,"6,274,992,543"
150,"Jun 4, 2024",1.0000,1.0010,0.9998,1.0001,1.0001,"6,054,685,985"
151,"Jun 3, 2024",1.0000,1.0010,0.9996,1.0000,1.0000,"5,759,511,394"
152,"Jun 2, 2024",1.0000,1.0007,0.9998,0.9999,0.9999,"3,180,459,748"
153,"Jun 1, 2024",1.0001,1.0008,0.9998,1.0000,1.0000,"2,558,109,472"
154,"May 31, 2024",1.0000,1.0013,0.9995,1.0001,1.0001,"6,257,893,920"
155,"May 30, 2024",1.0000,1.0010,0.9997,1.0000,1.0000,"6,596,463,941"
156,"May 29, 2024",1.0000,1.0012,0.9997,1.0000,1.0000,"6,200,045,453"
157,"May 28, 2024",1.0000,1.0012,0.9997,1.0000,1.0000,"7,130,885,149"
158,"May 27, 2024",0.9999,1.0010,0.9997,1.0000,1.0000,"5,846,002,184"
159,"May 26, 2024",0.9999,1.0009,0.9997,1.0000,1.0000,"4,006,530,902"
160,"May 25, 2024",1.0001,1.0008,0.9997,0.9999,0.9999,"2,916,318,920"
161,"May 24, 2024",1.0001,1.0009,0.9996,1.0001,1.0001,"6,974,788,144"
162,"May 23, 2024",0.9998,1.0016,0.9993,1.0001,1.0001,"10,711,191,548"
163,"May 22, 2024",1.0000,1.0007,0.9995,0.9999,0.9999,"7,995,414,894"
164,"May 21, 2024",0.9999,1.0007,0.9994,1.0000,1.0000,"10,821,965,697"
165,"May 20, 2024",1.0000,1.0009,0.9995,0.9999,0.9999,"9,745,625,023"
166,"May 19, 2024",1.0000,1.0009,0.9995,1.0000,1.0000,"3,531,934,053"
167,"May 18, 2024",1.0002,1.0008,0.9995,1.0001,1.0001,"3,748,984,171"
168,"May 17, 2024",1.0000,1.0010,0.9997,1.0000,1.0000,"6,590,780,561"
169,"May 16, 2024",1.0001,1.0009,0.9996,1.0000,1.0000,"6,684,369,918"
170,"May 15, 2024",1.0001,1.0010,0.9997,1.0001,1.0001,"8,085,028,154"
